Name,URL,Price,Rating
"Dell 65W Replacement AC Adapter for E5250, E5440, E5450, E5540, E5550, E6440, E6540, E7240, E7440 (LA65NM130)",/Dell-Replacement-Adapter-E5250-HK65NM130/dp/B01EF2Q97G/ref=sr_1_32?keywords=dell+laptop&qid=1564683533&s=gateway&sr=8-32,"22
.",4.2 out of 5 stars
"Dell G5 15 5590,G5590-5547BLK-PUS,8th Gen Intel Core i5 8300H Proc (Quad-Core, 8MB Cache, up to 4.0GHz w/Turbo Boost),15.6"" FHD,NVIDIA(R) GeForce(R) GTX 1050Ti w/4gb Graphics mem,1TB HDD+128GB SSD",/Dell-G5590-5547BLK-PUS-Quad-Core-GeForce-Graphics/dp/B07RGJ4PRJ/ref=sr_1_33?keywords=dell+laptop&qid=1564683533&s=gateway&sr=8-33,"799
.",
Laptop Notebook Charger for Original Dell Inspiron LA45NM140 HA45NM140 45W 19.5V 2.31A 15-3552 HK45NM140 Adapter Adaptor Power Supply (Power Cord Included),/Original-Dell-LA45NM140-HA45NM140-HK45NM140-Adapter/dp/B01M999CIQ/ref=sr_1_34?keywords=dell+laptop&qid=1564683533&s=gateway&sr=8-34,"21
.",4.2 out of 5 stars
"2018 Flagship Dell Inspiron Laptop, FHD IPS 15.6"" Touchscreen, Intel Quad-Core i5-8250U (Beat i7-7500U), 8GB DDR4, 1TB HDD, DVDRW, Backlit Keyboard, WIFI, Bluetooth, Webcam, Windows 10",/Flagship-Dell-Touchscreen-Quad-Core-Bluetooth/dp/B077YSPHZX/ref=sr_1_35?keywords=dell+laptop&qid=1564683533&s=gateway&sr=8-35,"559
.",
"2017 Dell Latitude E7440 14.1” HD Flagship Ultrabook PC, Intel Core i5-4300U 1.9GHz, 8GB DDR3 RAM, 256GB SSD, Bluetooth, Webcam, Windows 10 Professional (Renewed)",/Dell-E7440-Ultrabook-Professional-Refurbished/dp/B071F49Q2P/ref=sr_1_36?keywords=dell+laptop&qid=1564683533&s=gateway&sr=8-36,"263
.",4.0 out of 5 stars
90W/65W Power Adapter Charger for Dell Latitude 3340 E5430 E5440 E5450 E5530 E5540 E5550 E6220 E6230 E6320 E6330 E6400 E6410 E6420 E6430 E6440 E6500 E6510 E6520 E6530 E6540 E7240 E7250 E7440 E7450,/Power-Adapter-Charger-Latitude-E5430/dp/B07L8C5S6R/ref=sr_1_35?keywords=dell+laptop&qid=1564683537&s=gateway&sr=8-35,"16
.",
"New Dell Original Inspiron Laptop Charger 65W watt 4.5mm tip AC Power Adapter(Power Supply) with Power Cord for Inspiron 13 14 15,3000 5000 7000 Series,5558 5755 3147 7348-2in1 5555 5559,0G6j41 0MGJN",/Dell-Original-Inspiron-Charger-7348-2in1/dp/B07R8M3VY5/ref=sr_1_36?keywords=dell+laptop&qid=1564683537&s=gateway&sr=8-36,"26
.",
"tomtoc 360 Protective Laptop Shoulder Bag for 15.6 Inch Acer Aspire 3/5/7 Laptop, HP Pavilion 15.6, Dell Inspiron 15 3000, 15.6 ASUS ROG Zephyrus and ASUS Lenovo Samsung 15 Inch Notebook",/tomtoc-CornerArmor-Protective-Compatible-Chromebook/dp/B071K4L8KL/ref=sr_1_37?keywords=dell+laptop&qid=1564683537&s=gateway&sr=8-37,"31
.",
"Dell Gaming Laptop - 15"" FHD, 8th Gen Intel Core i7-8750H CPU, 16GB RAM, 256GB SSD+1TB HDD, NVIDIA GeForce GTX 1050TI, Windows 10 Home, Black - G3579-7989BLK-PUS",/Dell-Gaming-Laptop-i7-8750H-G3579-7989BLK-PUS/dp/B07BXG7725/ref=sr_1_38?keywords=dell+laptop&qid=1564683537&s=gateway&sr=8-38,"779
.",
"Dell Inspiron 15 7567 Laptop: Core i5-7300HQ, 256GB SSD, 8GB RAM, GTX 1050Ti, 15.6inch Full HD Display",/Dell-Inspiron-7567-Laptop-i5-7300HQ/dp/B07793DRK9/ref=sr_1_39?keywords=dell+laptop&qid=1564683537&s=gateway&sr=8-39,"749
.",4.1 out of 5 stars
